keyword_concept_polish_final,keyword_concept_polish_3d_aggregated,semantic_3d_action,semantic_3d_confidence,n_records,n_articles,example_raw_keywords
cyberpsychology,cyberpsychology,unchanged,low,1,1,cyberpsychology
cyclothymic,cyclothymic,unchanged,low,1,1,cyclothymic
cyp2d,cyp2d,unchanged,low,1,1,CYP2D
cytokines,cytokines,unchanged,low,1,1,cytokines
dat and comt polimorfizm,dat and comt polimorfizm,unchanged,low,1,1,DAT and COMT polymorphism
death,death,unchanged,low,1,1,death
death instynkt,death instynkt,unchanged,low,1,1,death instinct
decision algorithm,decision algorithm,unchanged,low,1,1,decision algorithm
decision-making,decision-making,unchanged,low,1,1,decision-making
decision-making capacity,decision-making capacity,unchanged,low,1,1,Decision-Making Capacity
defect,defect,unchanged,low,1,1,defect
defense styles,defense styles,unchanged,low,1,1,defense styles
deinstitutionalization,deinstitutionalization,unchanged,low,1,1,deinstitutionalization
delirium,delirium,unchanged,low,1,1,delirium
depot formulation,depot formulation,unchanged,low,1,1,depot formulation
dermatosis,dermatosis,unchanged,low,1,1,dermatosis
desnos,desnos,unchanged,low,1,1,DESNOS
detection,detection,unchanged,low,1,1,detection
detoxification,detoxification,unchanged,low,1,1,detoxification
development,development,unchanged,low,1,1,development
dialog motywujący,dialog motywujący,unchanged,low,1,1,motivational interviewing
diet,diet,unchanged,low,1,1,diet
dietary supplements,dietary supplements,unchanged,low,1,1,dietary supplements
dignity,dignity,unchanged,low,1,1,dignity
discussion with anti-and postpsychiatry,discussion with anti-and postpsychiatry,unchanged,low,1,1,discussion with anti- and postpsychiatry
drama,drama,unchanged,low,1,1,drama
dramatologia,dramatologia,unchanged,low,2,2,dramatology
drawings,drawings,unchanged,low,1,1,drawings
dreaming,dreaming,unchanged,low,1,1,dreaming
drop out,drop out,unchanged,low,1,1,drop out
drop-out,drop-out,unchanged,low,1,1,drop-out
dryness of mouth,dryness of mouth,unchanged,low,1,1,dryness of mouth
dyscalculia,dyscalculia,unchanged,low,1,1,dyscalculia
dysorthography,dysorthography,unchanged,low,1,1,dysorthography
dysphoria,dysphoria,unchanged,low,1,1,dysphoria
early retirement,early retirement,unchanged,low,1,1,early retirement
eartquake victims,eartquake victims,unchanged,low,1,1,eartquake victims
east azerbaijian,east azerbaijian,unchanged,low,1,1,East Azerbaijian
eat-26,eat-26,unchanged,low,2,2,EAT-26 | eat-26
eating,eating,unchanged,low,1,1,eating
eating behaviors,eating behaviors,unchanged,low,1,1,eating behaviours
eating habits,eating habits,unchanged,low,1,1,eating habits
eating styles,eating styles,unchanged,low,1,1,eating styles
eclecticism,eclecticism,unchanged,low,1,1,eclecticism
ect,ect,unchanged,low,1,1,ECT
ego,ego,unchanged,low,1,1,ego
egocentric,egocentric,unchanged,low,1,1,egocentric
egosyntoniczność,egosyntoniczność,unchanged,low,2,2,egosyntonicity
egypt,egypt,unchanged,low,1,1,Egypt
ejakulat,ejakulat,unchanged,low,1,1,jizz
electrodermal activity,electrodermal activity,unchanged,low,1,1,electrodermal activity
emergencies,emergencies,unchanged,low,1,1,emergencies
emergency medicine residents,emergency medicine residents,unchanged,low,1,1,Emergency Medicine residents
ems,ems,unchanged,low,1,1,EMS
engagement,engagement,unchanged,low,1,1,engagement
epq-r,epq-r,unchanged,low,1,1,EPQ-R
ericksonian parallel process,ericksonian parallel process,unchanged,low,1,1,Ericksonian parallel process
ericksonian supervision,ericksonian supervision,unchanged,low,1,1,Ericksonian supervision
etap przedkliniczny,etap przedkliniczny,unchanged,low,1,1,preclinical stage
evidence,evidence,unchanged,low,1,1,evidence
evolution,evolution,unchanged,low,1,1,evolution
exhaustion,exhaustion,unchanged,low,1,1,exhaustion
experience,experience,unchanged,low,1,1,experience
exposure terapia,exposure terapia,unchanged,low,1,1,exposure therapy
externalizing behaviors,externalizing behaviors,unchanged,low,1,1,externalizing behaviors
extreme sports,extreme sports,unchanged,low,1,1,extreme sports
eye movement desensitization and reprocessing,eye movement desensitization and reprocessing,unchanged,low,1,1,Eye Movement Desensitization and Reprocessing
face-to-face terapia,face-to-face terapia,unchanged,low,1,1,face-to-face therapy
faecal impaction,faecal impaction,unchanged,low,1,1,faecal impaction
faecaloma,faecaloma,unchanged,low,1,1,faecaloma
fahr's zespół,fahr's zespół,unchanged,low,1,1,Fahr's syndrome
fanaticism,fanaticism,unchanged,low,1,1,fanaticism
fenobarbital,fenobarbital,unchanged,low,1,1,phenobarbital
fg,fg,unchanged,low,1,1,FG
fidelity,fidelity,unchanged,low,1,1,fidelity
firefighters,firefighters,unchanged,low,1,1,firefighters
first person account,first person account,unchanged,low,1,1,first person account
first-person account,first-person account,unchanged,low,1,1,First-Person Account
fitness,fitness,unchanged,low,1,1,fitness
fizyczny appearance,fizyczny appearance,unchanged,low,1,1,physical appearance
fizyczny zdrowie,fizyczny zdrowie,unchanged,low,1,1,physical health
fkbp5,fkbp5,unchanged,low,1,1,FKBP5
food restriction,food restriction,unchanged,low,1,1,food restriction
forcible feeding,forcible feeding,unchanged,low,1,1,forcible feeding
formułowanie przypadku,formułowanie przypadku,unchanged,low,2,2,formulation
foster care,foster care,unchanged,low,1,1,foster care
free association,free association,unchanged,low,1,1,free association
frontal lobe zespół,frontal lobe zespół,unchanged,low,1,1,frontal lobe syndrome
functional zaburzenie,functional zaburzenie,unchanged,low,2,2,functional disorders
funkcjonariusze policji,funkcjonariusze policji,unchanged,low,2,2,police officers
fuzzy promethee,fuzzy promethee,unchanged,low,1,1,fuzzy PROMETHEE
galenika mikrosfer,galenika mikrosfer,unchanged,low,1,1,microsphere galenics
galvanic skin response,galvanic skin response,unchanged,low,1,1,galvanic skin response
gay,gay,unchanged,low,1,1,gay
gg,gg,unchanged,low,1,1,gg
gh,gh,unchanged,low,1,1,GH
giftedness,giftedness,unchanged,low,1,1,giftedness
gingivitis,gingivitis,unchanged,low,1,1,gingivitis
glutamic acid,glutamic acid,unchanged,low,1,1,glutamic acid
glycine,glycine,unchanged,low,1,1,glycine
grupa Balinta,grupa Balinta,unchanged,low,2,2,Balint group | Balint groups
grupa process,grupa process,unchanged,low,1,1,group process
gsdsii,gsdsii,unchanged,low,1,1,GSDSII
guided discovery,guided discovery,unchanged,low,1,1,guided discovery
guided mastery,guided mastery,unchanged,low,1,1,guided mastery
hamowanie motoryczne,hamowanie motoryczne,unchanged,low,1,1,motor inhibition
haplotype,haplotype,unchanged,low,1,1,haplotype
harm reduction,harm reduction,unchanged,low,1,1,harm reduction
harmonia wewnętrzna,harmonia wewnętrzna,unchanged,low,1,1,inner harmony
hashimoto's disease,hashimoto's disease,unchanged,low,1,1,Hashimoto’s disease
healthy subjects,healthy subjects,unchanged,low,1,1,healthy subjects
helplessness,helplessness,unchanged,low,1,1,helplessness
hemodialysis,hemodialysis,unchanged,low,1,1,hemodialysis
hepatitis c,hepatitis c,unchanged,low,1,1,hepatitis C
hh,hh,unchanged,low,1,1,hh
high sensitive c-reactive protein,high sensitive c-reactive protein,unchanged,low,1,1,High sensitive C-reactive protein
hiv,hiv,unchanged,low,1,1,HIV
hj,hj,unchanged,low,1,1,hj
homicide,homicide,unchanged,low,1,1,Homicide
hope,hope,unchanged,low,1,1,hope
hpa axis,hpa axis,unchanged,low,1,1,HPA axis
hplc,hplc,unchanged,low,1,1,HPLC
human destructiveness,human destructiveness,unchanged,low,1,1,human destructiveness
hunger strike,hunger strike,unchanged,low,1,1,hunger strike
hyperprolactinemia,hyperprolactinemia,unchanged,low,1,1,hyperprolactinemia
hyperthymic,hyperthymic,unchanged,low,1,1,hyperthymic
hyperthyroidism,hyperthyroidism,unchanged,low,1,1,hyperthyroidism
hypochondriasis,hypochondriasis,unchanged,low,1,1,hypochondriasis
hypothyroidism,hypothyroidism,unchanged,low,1,1,hypothyroidism
i agree,i agree,unchanged,low,1,1,I agree
i do not agree,i do not agree,unchanged,low,1,1,I do not agree
idealization,idealization,unchanged,low,1,1,idealization
identification,identification,unchanged,low,1,1,identification
igf1 / 2,igf1 / 2,unchanged,low,1,1,IGF1/2
igfbp1-6,igfbp1-6,unchanged,low,1,1,IGFBP1-6
imaginary and symbolic elaboration,imaginary and symbolic elaboration,unchanged,low,1,1,imaginary and symbolic elaboration
immunology,immunology,unchanged,low,1,1,immunology
impasse,impasse,unchanged,low,1,1,impasse
impulsive and restrictive behaviors,impulsive and restrictive behaviors,unchanged,low,1,1,impulsive and restrictive behaviours
impulsiveness,impulsiveness,unchanged,low,1,1,impulsiveness
incest,incest,unchanged,low,1,1,incest
incompetence / incapacity,incompetence / incapacity,unchanged,low,1,1,incompetence/incapacity
indeks słów kluczowych,indeks słów kluczowych,unchanged,low,1,1,Keywords index
indications to the terapia,indications to the terapia,unchanged,low,1,1,indications to the therapy
indigenous peoples of the north siberia,indigenous peoples of the north siberia,unchanged,low,1,1,indigenous peoples of the North Siberia
innowacje,innowacje,unchanged,low,1,1,innovations
instynkt,instynkt,unchanged,low,1,1,instinct
insulinooporność,insulinooporność,unchanged,low,1,1,insulin resistance
intensywny,intensywny,unchanged,low,2,2,Intensive
interferon,interferon,unchanged,low,1,1,interferon
interferon beta,interferon beta,unchanged,low,1,1,interferon-beta
introjekt,introjekt,unchanged,low,1,1,introject
intymność,intymność,unchanged,low,1,1,intimacy
irritable bowel zespół,irritable bowel zespół,unchanged,low,1,1,irritable bowel syndrome
jakość of care,jakość of care,unchanged,low,1,1,quality of care
kliniczny intuition,kliniczny intuition,unchanged,low,1,1,clinical intuition
kliniczny utility,kliniczny utility,unchanged,low,1,1,clinical utility
kluver-bucy zespół,kluver-bucy zespół,unchanged,low,1,1,Kluver-Bucy Syndrome
konflikt,konflikt,unchanged,low,2,2,conflict
kryteria normatywne,kryteria normatywne,unchanged,low,1,1,normative criteria
krótkoterminowy,krótkoterminowy,unchanged,low,2,2,Short-term
kulturystyka nierywalizacyjna,kulturystyka nierywalizacyjna,unchanged,low,1,1,non-competitive bodybuilding
lacosamide,lacosamide,unchanged,low,1,1,lacosamide
language,language,unchanged,low,1,1,language
language exercises,language exercises,unchanged,low,1,1,language exercises
lc,lc,unchanged,low,1,1,LC
left ventricular hypertrophy,left ventricular hypertrophy,unchanged,low,1,1,left ventricular hypertrophy
lesch typology,lesch typology,unchanged,low,1,1,Lesch typology
leucotomy,leucotomy,unchanged,low,1,1,leucotomy
lipedema,lipedema,unchanged,low,1,1,Lipedema
lipomatosis,lipomatosis,unchanged,low,1,1,lipomatosis
lithuania,lithuania,unchanged,low,1,1,Lithuania
long-acting injectable depot formulation,long-acting injectable depot formulation,unchanged,low,1,1,long-acting injectable depot formulation
luts,luts,unchanged,low,1,1,LUTS
major oporność,major oporność,unchanged,low,1,1,major resistance
manganese superoxide dismutase,manganese superoxide dismutase,unchanged,low,1,1,manganese superoxide dismutase
manipulation,manipulation,unchanged,low,1,1,manipulation
manuls,manuls,unchanged,low,1,1,manuls
marihuana,marihuana,unchanged,low,1,1,marihuana
maskarada,maskarada,unchanged,low,1,1,masquerade
mastektomia,mastektomia,unchanged,low,1,1,mastectomy
mastektomia profilaktyczna,mastektomia profilaktyczna,unchanged,low,1,1,prophylactic mastectomy
małżeński,małżeński,unchanged,low,1,1,marital
mechanizmy,mechanizmy,unchanged,low,1,1,mechanisms
media,media,unchanged,low,1,1,media
mediational perspective,mediational perspective,unchanged,low,1,1,mediational perspective
meditation,meditation,unchanged,low,1,1,meditation
memantine,memantine,unchanged,low,1,1,memantine
metacognition,metacognition,unchanged,low,1,1,metacognition
metadon,metadon,unchanged,low,1,1,methadone
methamphetamine users,methamphetamine users,unchanged,low,1,1,Methamphetamine Users
metylofenidat,metylofenidat,unchanged,low,2,2,Methylphenidate
midazolam,midazolam,unchanged,low,1,1,Midazolam
migrena,migrena,unchanged,low,1,1,migraine
mikrobiom,mikrobiom,unchanged,low,1,1,microbiome
mikromacierz oligonukleotydowa,mikromacierz oligonukleotydowa,unchanged,low,1,1,oligonucleotide microarray
mindful eating,mindful eating,unchanged,low,1,1,mindful eating
mirror processes,mirror processes,unchanged,low,1,1,mirror processes
mixed state,mixed state,unchanged,low,1,1,mixed state
mizofonia,mizofonia,unchanged,low,1,1,misophonia
monoterpen,monoterpen,unchanged,low,1,1,monotherpen
moralny agent,moralny agent,unchanged,low,1,1,moral agent
moralny wstręt,moralny wstręt,unchanged,low,1,1,moral disgust
mr terapia,mr terapia,unchanged,low,1,1,MR therapy
music terapia,music terapia,unchanged,low,1,1,music therapy
napływ,napływ,unchanged,low,1,1,influx
nawrót,nawrót,unchanged,low,1,1,relapse
newsletter,newsletter,unchanged,low,1,1,Newsletter
newsletter 2,newsletter 2,unchanged,low,1,1,Newsletter 2
niedopasowanie,niedopasowanie,unchanged,low,1,1,mismatch
niepełnosprawność,niepełnosprawność,unchanged,low,4,4,disability | invalidity
niewydolność,niewydolność,unchanged,low,1,1,failure
niewydolność nerek,niewydolność nerek,unchanged,low,1,1,kidney failure
novel terapia,novel terapia,unchanged,low,1,1,novel therapy
o-życie,o-życie,unchanged,low,1,1,O-LIFE
obraz,obraz,unchanged,low,1,1,picture
od,od,unchanged,low,2,2,from
odżywianie,odżywianie,unchanged,low,1,1,nutrition
oksytocyna,oksytocyna,unchanged,low,1,1,oxytocin
opór,opór,unchanged,low,2,2,resistance
organiczność,organiczność,unchanged,low,1,1,Organicity
osadzeni,osadzeni,unchanged,low,1,1,inmates
osobisty terapia,osobisty terapia,unchanged,low,1,1,personal therapy
osoby 60+,osoby 60+,unchanged,low,1,1,people 60+
osocze,osocze,unchanged,low,1,1,plasma
osteologia,osteologia,unchanged,low,1,1,osteology
pacjenci,pacjenci,unchanged,low,1,1,patients
parametry of mobilisation of the unconscious,parametry of mobilisation of the unconscious,unchanged,low,1,1,parameters of mobilisation of the unconscious
paternalizm,paternalizm,unchanged,low,1,1,paternalism
patogenowy wstręt,patogenowy wstręt,unchanged,low,1,1,pathogen disgust
patologia,patologia,unchanged,low,1,1,pathology
patologiczne skubanie skóry,patologiczne skubanie skóry,unchanged,low,1,1,pathological skin picking
patologiczne zamartwianie się,patologiczne zamartwianie się,unchanged,low,1,1,pathlogical worry
patologiczny,patologiczny,unchanged,low,1,1,pathological
periodontal zdrowie,periodontal zdrowie,unchanged,low,1,1,periodontal health
pierwotny chłoniak ośrodkowego układu nerwowego,pierwotny chłoniak ośrodkowego układu nerwowego,unchanged,low,1,1,Primary central nervous system lymphoma
po wypisie,po wypisie,unchanged,low,1,1,post-discharge
poczucie sprawstwa,poczucie sprawstwa,unchanged,low,1,1,mastery
polimorfizm,polimorfizm,unchanged,low,1,1,polymorphism
polskie mity,polskie mity,unchanged,low,1,1,Polish myths
polskie mity patriotyczne,polskie mity patriotyczne,unchanged,low,1,1,Polish patriotism myths
pompa insulinowa,pompa insulinowa,unchanged,low,1,1,insulin pump
popędliwość negatywna,popędliwość negatywna,unchanged,low,1,1,negative urgency
popędliwość pozytywna,popędliwość pozytywna,unchanged,low,1,1,positive urgency
pornografia,pornografia,unchanged,low,1,1,pornography
poród drogami natury,poród drogami natury,unchanged,low,1,1,normal vaginal delivery
postkomunistyczny,postkomunistyczny,unchanged,low,1,1,post-communist
postmodernizm,postmodernizm,unchanged,low,1,1,postmodernism
postrzegana kontrola,postrzegana kontrola,unchanged,low,1,1,perceived control
potrzeby pacjentów,potrzeby pacjentów,unchanged,low,1,1,patients' needs
powódź,powódź,unchanged,low,2,2,flood
położnictwo,położnictwo,unchanged,low,1,1,midwifery
praktyk,praktyk,unchanged,low,1,1,practicioner
prescription,prescription,unchanged,low,1,1,prescription
pretherapy waiting,pretherapy waiting,unchanged,low,1,1,pretherapy waiting
primary zdrowie care,primary zdrowie care,unchanged,low,1,1,primary health care
problem prawny,problem prawny,unchanged,low,1,1,juridical problem
profilaktyczne usunięcie przydatków,profilaktyczne usunięcie przydatków,unchanged,low,1,1,prophylactic adnexectomy
propofol,propofol,unchanged,low,1,1,Propofol
prospective iu,prospective iu,unchanged,low,1,1,prospective IU
przedawkowania,przedawkowania,unchanged,low,1,1,overdoses
psorasis,psorasis,unchanged,low,1,1,psorasis
pssi-persnlichkeits-stil-und strungs-inventar,pssi-persnlichkeits-stil-und strungs-inventar,unchanged,low,1,1,PSSI-Persnlichkeits-Stil-und Strungs-Inventar
psychical activity,psychical activity,unchanged,low,1,1,psychical activity
psychiczny contamination,psychiczny contamination,unchanged,low,1,1,mental contamination
psychodermatologia,psychodermatologia,unchanged,low,2,2,psychodermatology
psychodrama,psychodrama,unchanged,low,1,1,psychodrama
psychogenic binge easting,psychogenic binge easting,unchanged,low,1,1,psychogenic binge easting
public zdrowie,public zdrowie,unchanged,low,1,1,public health
qol measures,qol measures,unchanged,low,1,1,QoL measures
quarantine,quarantine,unchanged,low,1,1,quarantine
rapid cycling,rapid cycling,unchanged,low,1,1,rapid cycling
reliable change,reliable change,unchanged,low,1,1,reliable change
repeated transcranial magnetic stimulation,repeated transcranial magnetic stimulation,unchanged,low,1,1,repeated transcranial magnetic stimulation
resident,resident,unchanged,low,1,1,resident
resiliency,resiliency,unchanged,low,1,1,resiliency
respiration,respiration,unchanged,low,1,1,respiration
reversibility,reversibility,unchanged,low,1,1,reversibility
rhinoplasty surgery,rhinoplasty surgery,unchanged,low,1,1,Rhinoplasty Surgery
rosacea,rosacea,unchanged,low,1,1,rosacea
ruminative thinking,ruminative thinking,unchanged,low,1,1,ruminative thinking
runaway girls,runaway girls,unchanged,low,1,1,Runaway Girls
russia,russia,unchanged,low,1,1,Russia
różnice indywidualne,różnice indywidualne,unchanged,low,1,1,individual differences
salience,salience,unchanged,low,1,1,salience
saliva,saliva,unchanged,low,1,1,saliva
sasb,sasb,unchanged,low,1,1,SASB
schema modes,schema modes,unchanged,low,1,1,schema modes
scientific production,scientific production,unchanged,low,1,1,scientific production
seizures,seizures,unchanged,low,1,1,seizures
selenium,selenium,unchanged,low,1,1,selenium
semantic priming,semantic priming,unchanged,low,1,1,semantic priming
semantic satiation,semantic satiation,unchanged,low,1,1,semantic satiation
send by email,send by email,unchanged,low,1,1,Send by email
seniors,seniors,unchanged,low,1,1,seniors
sensation seeking,sensation seeking,unchanged,low,1,1,sensation seeking
sertraline,sertraline,unchanged,low,1,1,sertraline
serum,serum,unchanged,low,1,1,Serum
serum concentration,serum concentration,unchanged,low,1,1,serum concentration
short-term dynamic terapia,short-term dynamic terapia,unchanged,low,1,1,short-term dynamic therapy
shyness,shyness,unchanged,low,1,1,shyness
skydivers,skydivers,unchanged,low,1,1,skydivers
socio-demographic characteristics,socio-demographic characteristics,unchanged,low,1,1,socio-demographic characteristics
socioeconomic status,socioeconomic status,unchanged,low,1,1,socioeconomic status
socjopatia,socjopatia,unchanged,low,2,2,sociopathy
sodium-glucose co-transporter-2 inhibitor,sodium-glucose co-transporter-2 inhibitor,unchanged,low,1,1,sodium-glucose co-transporter-2 inhibitor
solastalgia,solastalgia,unchanged,low,1,1,solastalgia
solution focused brief terapia,solution focused brief terapia,unchanged,low,1,1,Solution Focused Brief Therapy
somatic zaburzenie,somatic zaburzenie,unchanged,low,1,1,somatic disorders
somatization,somatization,unchanged,low,1,1,somatization
sparteine oxidation,sparteine oxidation,unchanged,low,1,1,sparteine oxidation
specific zaburzenie,specific zaburzenie,unchanged,low,1,1,specific disorder
spect,spect,unchanged,low,1,1,SPECT
spouse burden,spouse burden,unchanged,low,1,1,Spouse burden
sprawcy,sprawcy,unchanged,low,1,1,offenders
stages of supervision,stages of supervision,unchanged,low,1,1,stages of supervision
statystyka,statystyka,unchanged,low,1,1,statistics
story,story,unchanged,low,1,1,story
stosunek neutrofili do limfocytów,stosunek neutrofili do limfocytów,unchanged,low,1,1,Neutrophil lymphocyte ratio
stq-now,stq-now,unchanged,low,1,1,STQ-Now
strata materialna,strata materialna,unchanged,low,1,1,material loss
strp,strp,unchanged,low,1,1,STRP
structure,structure,unchanged,low,1,1,structure
stuttering,stuttering,unchanged,low,1,1,stuttering
styl humoru,styl humoru,unchanged,low,2,2,humour style | humour styles
subjective aspects,subjective aspects,unchanged,low,1,1,subjective aspects
subtypes,subtypes,unchanged,low,1,1,subtypes
supervision,supervision,unchanged,low,1,1,supervision
suppression,suppression,unchanged,low,1,1,suppression
survivor,survivor,unchanged,low,1,1,survivor
survivors,survivors,unchanged,low,1,1,survivors
synthetic cannabinoids,synthetic cannabinoids,unchanged,low,1,1,synthetic cannabinoids
taboo,taboo,unchanged,low,1,1,taboo
tako tsubo,tako tsubo,unchanged,low,1,1,tako tsubo
tako-tsubo,tako-tsubo,unchanged,low,1,1,Tako-Tsubo
teachers,teachers,unchanged,low,1,1,teachers
technika terapeuty,technika terapeuty,unchanged,low,3,3,therapist technique
temporomandibular joint dysfunction,temporomandibular joint dysfunction,unchanged,low,1,1,temporomandibular joint dysfunction
temporomandibular zaburzenie,temporomandibular zaburzenie,unchanged,low,1,1,temporomandibular disorders
temptation of omnipotence,temptation of omnipotence,unchanged,low,1,1,temptation of omnipotence
terapeuta characteristics,terapeuta characteristics,unchanged,low,1,1,therapist characteristics
terapeuta credibility,terapeuta credibility,unchanged,low,1,1,therapist credibility
terapeuta language,terapeuta language,unchanged,low,1,1,therapist language
terapia,terapia,unchanged,low,3,3,therapy
territoriality,territoriality,unchanged,low,1,1,territoriality
thanatosis,thanatosis,unchanged,low,1,1,Thanatosis
the dark triad,the dark triad,unchanged,low,1,1,the Dark Triad
the light triad,the light triad,unchanged,low,1,1,the Light Triad
the paradox,the paradox,unchanged,low,1,1,The paradox
therapeutic influence,therapeutic influence,unchanged,low,1,1,therapeutic influence
therapeutic relation,therapeutic relation,unchanged,low,1,1,therapeutic relation
therapeutics,therapeutics,unchanged,low,1,1,therapeutics
therapists,therapists,unchanged,low,1,1,therapists
thin-ideal internalization,thin-ideal internalization,unchanged,low,1,1,thin-ideal internalization
topics index,topics index,unchanged,low,1,1,Topics index
topiramate,topiramate,unchanged,low,1,1,topiramate
transcranial direct current stimulation,transcranial direct current stimulation,unchanged,low,1,1,transcranial direct current stimulation
transcranial direct current stimulation (tdcs),transcranial direct current stimulation (tdcs),unchanged,low,1,1,Transcranial Direct Current Stimulation (tDCS)
transinstitutionalization,transinstitutionalization,unchanged,low,1,1,transinstitutionalization
transsexualism,transsexualism,unchanged,low,1,1,transsexualism
type 2 (ntrk2),type 2 (ntrk2),unchanged,low,1,1,type 2 (NTRK2)
uhplc,uhplc,unchanged,low,1,1,UHPLC
uk,uk,unchanged,low,1,1,UK
unconscious primitive murderous rage,unconscious primitive murderous rage,unchanged,low,1,1,unconscious primitive murderous rage
unconsciousness in the supervision process,unconsciousness in the supervision process,unchanged,low,1,1,unconsciousness in the supervision process
uncontrolled eating,uncontrolled eating,unchanged,low,1,1,uncontrolled eating
underachievement,underachievement,unchanged,low,1,1,Underachievement
unemployment,unemployment,unchanged,low,1,1,unemployment
urine,urine,unchanged,low,1,1,urine
utilization zachowanie,utilization zachowanie,unchanged,low,1,1,utilization behavior
użytkownicy dożylni,użytkownicy dożylni,unchanged,low,1,1,IV Users
vaginismus,vaginismus,unchanged,low,1,1,Vaginismus
vagus nerve,vagus nerve,unchanged,low,1,1,vagus nerve
verbal fluency,verbal fluency,unchanged,low,1,1,verbal fluency
vikings,vikings,unchanged,low,1,1,Vikings
virtual reality,virtual reality,unchanged,low,1,1,virtual reality
visegrad countries,visegrad countries,unchanged,low,1,1,Visegrad countries
visual imaginery,visual imaginery,unchanged,low,1,1,visual imaginery
voice hearing,voice hearing,unchanged,low,1,1,voice hearing
voice signals,voice signals,unchanged,low,1,1,voice signals
waiting list,waiting list,unchanged,low,1,1,waiting list
website accessibility,website accessibility,unchanged,low,1,1,website accessibility
weight gain,weight gain,unchanged,low,1,1,weight gain
weight loss,weight loss,unchanged,low,1,1,weight loss
weight loss terapia,weight loss terapia,unchanged,low,1,1,weight loss therapy
white blood cells,white blood cells,unchanged,low,1,1,white blood cells
wiek pacjentów,wiek pacjentów,unchanged,low,1,1,patients age
wielokryterialny,wielokryterialny,unchanged,low,1,1,multi-criteria
wisconsin card sorting test,wisconsin card sorting test,unchanged,low,1,1,Wisconsin Card Sorting Test
więcej,więcej,unchanged,low,1,1,more
wnioskowanie,wnioskowanie,unchanged,low,1,1,inference
worry,worry,unchanged,low,1,1,worry
wrzesien,wrzesien,unchanged,low,1,1,wrzesien
wytyczne WHO,wytyczne WHO,unchanged,low,1,1,OMS guidelines
xenomelia,xenomelia,unchanged,low,1,1,xenomelia
yoga,yoga,unchanged,low,1,1,yoga
zaangażowanie,zaangażowanie,unchanged,low,1,1,involvement
zaburzenia,zaburzenia,unchanged,low,1,1,Disorders
zaburzenie,zaburzenie,unchanged,low,1,1,disorder
zachowanie macierzyńskie,zachowanie macierzyńskie,unchanged,low,1,1,maternal behaviour
zachowanie ojcowskie,zachowanie ojcowskie,unchanged,low,1,1,paternal behaviour
zasób informacyjny,zasób informacyjny,unchanged,low,1,1,information resource
zataria multiflora boiss,zataria multiflora boiss,unchanged,low,1,1,Zataria Multiflora Boiss
zdrowie,zdrowie,unchanged,low,1,1,Health
zdrowie 2.0,zdrowie 2.0,unchanged,low,1,1,Health 2.0
zdrowie care providers,zdrowie care providers,unchanged,low,1,1,health care providers
zdrowie food,zdrowie food,unchanged,low,1,1,health food
zdrowie-related behavior,zdrowie-related behavior,unchanged,low,1,1,health-related behavior
zespół,zespół,unchanged,low,1,1,syndrome
zjawiska fizjologiczne,zjawiska fizjologiczne,unchanged,low,1,1,physiological phenomena
zolpidem,zolpidem,unchanged,low,1,1,zolpidem
śmiertelność,śmiertelność,unchanged,low,1,1,mortality
świąd,świąd,unchanged,low,1,1,itch
Żydzi,Żydzi,unchanged,low,1,1,Jews
życie experience,życie experience,unchanged,low,1,1,life experience
żydowski ruch oporu,żydowski ruch oporu,unchanged,low,1,1,Jewish resistance
